,id,channel,publishedAt,title,description,views,likes,dislikes
10,D8wG67oko7E,Karl Conrad,2022-05-12 15:59:34+00:00,Sony WH-1000XM5 UNBOXING + REVIEW - The new King of Noise Cancelling!,Unboxing and review of the new Sony WH1000XM5 Noise Cancelling Headphones!   #Sony #WH1000XM5 #Headphones #Audio  Email for business: karlconrad@live.com
11,LiRDR8-z8jM,New Stuff TV,2022-08-31 13:59:37+00:00,I Was Wrong About Sony WH-1000XM5,The Sony WH-1000XM5 check out to be high quality ANC headphones with great lifestyle features. l've had a great experience with them over the last couple of weeks and I've changed my mind.. They're definitely a nice upgrade from the WH-1000XM4  #NewStuff #sonywh1000xm5 #SonyXM5  👉Be sure to check out the latest podcast: https://www.youtube.com/channel/UCGX_Nq4wQuSOUJJyjUAlWgA   🔴 Soundcore Space Q45: https://www.youtube.com/watch?v=0f7uFJvYKZU  Get it here... Using my affiliate link helps financially support the channel: Best Buy: https://shop-links.co/chghroRacqv Amazon: https://amzn.to/3PPguJB  Follow me on social media ⭐📷⭐ Instagram: https://www.instagram.com/justcallme_antwan TikTok: https://www.tiktok.com/@newstufftv Facebook: https://www.facebook.com/JustCallMeAntwan  Here’s the video & audio gear I use: https://kit.co/Just_Doin_Life/my-video-setup Sony a6400 https://amzn.to/2EVlERm Sony a5100 https://amzn.to/2sEGi1L Sony SELP18105G https://amzn.to/2Cp78zg Sigma 16mm 1.4 DC DN https://amzn.to/2Xreooa Overhead Lights: https://amzn.to/2Kyaup4 Ring Light: https://amzn.to/2IBjklV Deity V-Mic D3 Pro: https://amzn.to/35brqcj,143754,3171,0
12,nRjOrpywEZk,Digital Trends,2022-05-12 16:00:21+00:00,Sony WH-1000XM5 Headphone Review | Even Better-er!,"The Sony WH-1000XM5 are probably the most highly anticipated headphones for 2022. Given the series' legacy, the XM5 are expected to be great, but given how good the XM4 were, how much better can the XM5 be? We break down all the new improvements and get down to how well the headphones perform, from noise-cancelling to call quality and sound quality. Could they really be this good?  Click here to read our full written review of the Sony WH-1000XM5 - https://www.digitaltrends.com/home-theater/sony-wh-1000xm5-review/  00:00 Intro 01:00 Everything NEW with the XM5s 04:46 Comfort 05:44 Noise-Canceling 06:14 Call Quality/Noise-Canceling for Phone Calls 07:54 Battery Life 08:14 Sound Quality 10:16 Final Verdict  SUBSCRIBE FOR THE LATEST VIDEOS http://bit.ly/DTYouTubeSub  VISIT DIGITAL TRENDS  https://www.digitaltrends.com/  In our studio: BDI Corridor Media Console: https://bit.ly/2u1IMrs   https://amzn.to/2JtnA8v KEF Q750 Floorstanding Speakers: https://amzn.to/3cCCwhb Music: https://artlist.io/Digital-142302  Digital Trends may earn a commission when you buy through links on our channels.  FOLLOW US! https://www.facebook.com/digitaltrends https://twitter.com/digitaltrends https://www.instagram.com/digitaltrends  #SonyXM5 #SonyWH1000XM5 #Review #Headphones #NoiseCancelingHeadphones #SonyHeadphones #HandsOn #HeadphonesReview #BestHeadphones #DigitalTrends",145335,4679,0
13,Wtw19ct65VA,Sony Europe,2022-05-12 16:04:15+00:00,Introducing the Sony WH-1000XM5 Noise Cancelling Wireless Headphones,"Introducing the new Sony WH-1000XM5 Noise Cancelling Wireless Headphones: https://www.sony.co.uk/electronics/headband-headphones/wh-1000xm5?cid=sco-eu-39165   Our industry-leading* noise cancellation just took its biggest step up! With four microphones on each earcup, ambient sound is captured even more accurately, and the new Integrated Processor V1 unlocks the full potential of our HD Noise Cancelling Processor QN1 to deliver unprecedented noise cancelling quality.  Watch this video to see our latest technology in action, as well as more exciting features, including High-Resolution Audio, DSEE Extreme™, 360 Reality Audio, our best call quality yet, the long-lasting and fast-charging battery, and more.  *As of January 1, 2022. According to research by Sony Corporation, measured using JEITA-compliant guidelines in headband style of wireless noise cancelling headphones market.",21822,536,0
14,6WTHBCZBt_E,This is Tech Today,2022-05-17 02:30:41+00:00,THE DEFINITIVE Sony WH-1000XM5 Review & Comparison by an AUDIO ENGINEER,"As an Audio Engineer, this is the definitive, in-depth, and experiential review of the Sony WH-1000XM5 and a comparison with the Sony WH-1000XM4, Apple AirPods Max, and the Bose QuietComfort 45 Bluetooth wireless ANC headphones. I take over 15 years of audio engineer experience to make the kind of review I wanted to see!  🌎Take control over how you search, avoid clickbait, and more with Seekr - https://www.seekr.com (ad)  -- WHERE TO PURCHASE -- ▶Sony WH-1000XM5: https://shop-links.co/chd8pfIMILO ▶Apple AirPods Max: https://shop-links.co/chfZk7Ahj69 ▶Sony WH-1000XM4: https://shop-links.co/chfZlXf0ttu ▶Bose QC45: https://shop-links.co/cheAkovOl52 🎶Take your films to the next level with music from Musicbed. Sign up for a free account to listen for yourself: https://myte.ch/musicbed  BECOME A CHANNEL MEMBER FOR EXCLUSIVE CONTENT: https://www.youtube.com/thisistechtoday/join  -- WATCH MORE -- ▶ SONY LINKBUDS S Definitive review and comparison: https://youtu.be/DAm4jcrLC8U ▶Sony Home Theater and 360 Spatial Sound Mapping Video: https://youtu.be/UUuJEGWrY8s ▶Comparing every Samsung Galaxy Bud: https://youtu.be/xAnxYpyaQTE ▶Google Nest Audio Review: https://youtu.be/6ZRE8Pb81nM ▶My Favorite Home Theater Audio System that is Lossless and Wireless: https://youtu.be/CXWLIWFLNg0 ▶Two Audio engineers Try AirPods Pro for the First time: https://youtu.be/aoSFrUhSgCI  --- FOLLOW ME and BE IN COMMUNITY --- 🐦Twitter, Instagram, TikTok, and Facebook @thisistechtoday 👨‍👩‍👧‍👦Community DISCORD CHAT: https://myte.ch/discord 🌎MY WEBSITE http://www.thisistechtoday.com  👕MERCH: https://myte.ch/merch2019 and get 5% OFF with code PIXELPEEPER  --- MY TECH --- 🟨 My Amazon Storefront of My Favorite Products (make sure to follow me!): https://myte.ch/amazon 📸 The GEAR I use to make my videos! https://myte.ch/kit 🪑 My Desks, Chairs, and Furniture are by Fully! https://bit.ly/32dAiOL  - Jarvis Laminate Standing Desk - https://bit.ly/3iWHbuv - Colbe Bamboo Shelving Unit - https://bit.ly/2EeomUK - Capisco Chair - https://bit.ly/2YhfRPS - Tic Toc Chair - https://bit.ly/34h808H   ▶️YOUTUBERS you have to use TubeBuddy. It's what I use (affiliate): https://www.tubebuddy.com/thisistechtoday  📖HELP CLOSE CAPTION & TRANSLATE: https://myte.ch/cc  🌅Where to get the WALLPAPERS I use: http://bit.ly/wallpapermegathread 🚗 Get a Free Lyft Ride with Code: LEE83209  🔥BUSINESS INQUIRIES & SPONSORSHIPS: brandon -at- ricebowlmedia.com  📬Want to send me something? 15068 Rosecrans Ave # 260 La Mirada CA 90638  0:00 Intro: What I bring as an Audio Engineer (I made the review video that I wasn't seeing anyone making that I wanted to see) 0:35 What an ""Immersive, Experiential Review"" is 1:36 SONG SAMPLE: Electronic (Sub Frequencies & High-end Sizzle) 2:12 Build Quality 3:17 SONG SAMPLE: Female Vocals (Electronic) 3:54 Interactions 4:30 SONG SAMPLE: Female Vocals (Warm, Midrangey, Soul) 5:21 ANC Comparisons (Mid & High Frequencies) 6:30 SONG SAMPLE: Male Vocal (Funky, Warm Bass) 7:08 ANC Comparisons (Low/Sub Frequencies) 9:17 SONG SAMPLE: Acoustic (Singer-Songwriter) 10:08 How ANC (Active Noise Cancellation) Works - WITH SOUND SAMPLES 11:56 SONG SAMPLE: Reverby Surf Rock (Check the Bass Guitar) 12:34 Transparency Mode Comparisons 15:03 SONG SAMPLE: String Ballad with Piano 15:06 Bluetooth Distance Comparisons 17:19 SONG SAMPLE: Amped up BaSsY BAnGeR (Sub frequencies and High hat/Snare) 18:12 Microphone Comparisons & Call Quality 19:51 SONG SAMPLE: Epic Cinematic (support my friend http://www.hannahparrott.com/) 20:36 Gaming Comparisons 21:24 SONG SAMPLE: 80s Synth Vibe (The bass line is so good) 22:05 MY CUSTOM EQ with SONG SAMPLE: Epic, Dramatic, Commercial Rock 20:10 Sound impressions between all of them 23:56 SONG SAMPLE: Epic Arena Stomper (Lots of low end and high-highs) 25:00 Which one should you buy? (a guide) 26:01 How Videos that take 60+ hours like this one are possible 27:13 My Personal Preferences  Disclosure: As an Amazon Associate I earn from qualifying purchases. I utilize affiliate links and may receive a commission from them, and at times may receive items for review from various brands. Despite that, I promise to always provide an honest & an unbiased as possible review because you deserve the best. All sponsorships will be clearly stated because transparency & trust are important to me!",2134655,70790,0
15,C8m1PaLEcSY,MacRumors,2022-05-20 19:18:27+00:00,Sony WH-1000XM5 vs Apple AirPods Max,"Sony this week came out with an updated version of its popular over-ear noise-canceling headphones, so we picked up a pair to compare them to the AirPods Max to see which headphones are better and whether it's worth buying the $400 WH-1000XM5 from Sony over Apple's $549 ‌AirPods Max‌.  read more - https://www.macrumors.com/2022/05/20/sony-1000xm5-vs-airpods-max/  Sony WH-1000XM5 - https://amzn.to/387L7ZG Apple AirPods Max - https://amzn.to/3wzwlV4 Sony WH-1000XM4 (old model) - https://amzn.to/3G63H0D  This video is sponsored by OWC. For more information about the OWC Envoy Pro Mini visit https://eshop.macsales.com/item/OWC/ENVPMCA10/",423858,5954,0
16,SMcbfXSjQwg,TheUnlockr,2022-06-21 14:00:48+00:00,Sony WH-1000XM5 Real-World Test,"I took the new Sony WH-1000XM5 noise cancelling headphones out exploring the loudest neighborhood in New York City to test out their ANC, battery, and sound. Come check it out and let me know what you think of the video.  LINK(S) MENTIONED IN THE VIDEO: (If you buy something from a link, I may earn a commission but you will not be charged any extra) Sony WH1000XM5: https://unlockr.co/SonyWH1000XM5 Sony WH1000XM4: https://unlockr.co/6orym Apple AirPods Max: https://unlockr.co/AppleAirPodsMax  SIGN UP FOR MY NEWSLETTER: https://unlockr.co/EmailNewsletter  REPAIR YOUR IPHONE YOURSELF WITH PARTS FROM MY SHOP AND SAVE MONEY: https://shop.theunlockr.com  UNLOCK YOUR PHONE: Set your phone free! You can buy unlock codes to allow you to use any carrier with your phone, head here! - https://theunlockr.com/unlock-my-phone/  LETS CHAT: Subscribe - https://www.youtube.com/theunlockr?sub_confirmation=1 Facebook - https://www.facebook.com/TheUnlockr Twitter - https://twitter.com/TheUnlockr Instagram - http://instagram.com/theunlockr/",69586,2397,0
17,bbFhv7aCl2M,Kevin The Tech Ninja,2022-05-13 17:00:22+00:00,Sony WH-1000XM5 vs Sony WH-1000XM4 // Is this Upgrade WORTH IT?,Sign up for Free 14 day trial with my sponsor Aura //  https://aura.com/TechNinja  The AirPods Max vs The Sony WH-1000XM5 - Which ANC Headphones would you pick?   Subscribe To A Ninja  ▶▶   http://bit.ly/1JXcHPB Subscribe to Kris ▶ https://www.youtube.com/c/KrisJohnsonMusic  Kris Patreon ▶ https://www.patreon.com/krisjohnson?fbclid=IwAR1EcIAwCVMbx6J3H78etuKf4rzRYnvCHyCzc0R-gVtJN5lPeloRGSBcqMo Sign up for a Free 14 day trial with my sponsor Aura //  https://aura.com/TechNinja  ----  Buy Sony WH-1000XM5   ----  https://shop-links.co/chd7mKZbc5x https://amzn.to/3M8s7Jh  ----  Buy Sony WH-1000XM4 ----  Black - https://shop-links.co/chdFUnYxxgF  Silver - https://shop-links.co/chdGnECl90x  Midnight Blue - https://shop-links.co/chdGniUMkLV ----  Buy AirPods Max  ----  AirPods Max Space Gray $499 - https://shop-links.co/chdsKUf3gPF AirPods Max Sky Blue $499 - https://shop-links.co/chdsNWQVb3S AirPods Max Green $499 - https://shop-links.co/chdsN8YtDXI AirPods Max Pink $499 - https://shop-links.co/chdsOjvjGay AirPods Max Silver $499 -https://shop-links.co/chdsOsrCZOE Lighting Cable to Headphone //https://shop-links.co/chdsQUYRqhg Lighting Cable // https://shop-links.co/chdsSS2ETZr   ------- What Camera Gear Do I Use?  (Kit) ▶ http://ktt.ninja/24xrZLd Music Created By @Iamrevolution,132496,2315,0
18,3s1oxAZYyvI,TECHKNOW BIZ,2023-04-30 09:46:52+00:00,Sound sample comparison of Airpods Max vs WH1000XM5 vs Momentum 4 vs Spirit S3,,133937,5225,0
19,KBt1glo7sfo,Sony (Japan),2022-05-13 00:00:10+00:00,ヘッドホン:「新世代」の静けさで、音楽は深化する。:WH-1000XM5【ソニー公式】,「新世代」の静けさで、音楽は深化する。 ワイヤレスノイズキャンセリングステレオヘッドセット WH-1000XM5  ----------------------------------------­------------ 【『WH-1000XM5』製品情報サイト】 https://www.sony.jp/headphone/products/WH-1000XM5/  【コンセプトサイト】 https://www.sony.jp/headphone/special/WH-1000XM5/  ----------------------------------------­------------ 【ソニーのYouTubeチャンネル】 https://www.youtube.com/c/SonyJapan  【ソニーのFacebookページ】 https://www.facebook.com/sony.jpn  【ソニーのTwitterページ】 https://twitter.com/sony_jpn  【ソニー製品情報・ソニーストア】 https://www.sony.jp/  【Sony | ソニーグループ ポータルサイト】 https://www.sony.com/ja/,47044,0,0
